Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C603,3,10u 25V,C96446
"C4, C5",C603,2,100n 50V,C14663
"D1, D4",D805,2,1N5819,C2927280
D2,D_SMB,1,SMBJ13A,C152108
D3,D603,1,LED,C497922
"D5, D6",D805,2,1N914,C2128
"D7, D8",SOD-123,2,1N4001W,C18199085
"J1, J3, J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,JST-B2B-PH-K,C131337
"J10, J11",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,JST-B2B-XH-A,C158012
J12,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C2691448
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,JST-B3B-XH-A,C144394
J5,USB_C_TYPE-C_16PIN_2MD,1, TYPE-C 16PIN 2MD(073),C2765186
"J6, J7, J8",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,3,JST-B3B-PH-K,C131339
J9,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,JST-B4B-PH-K,C131334
"K1, K2",Relay_DPDT_Omron_G6K-2F-Y,2,G6K-2F-Y-TR DC12,C397192
"Q1, Q2, Q3, Q4",SOT-23-3,4,FMMT617,C686650
"R1, R5",R603,2,10k,C25804
"R2, R3",R603,2,5k1,C25905
"R4, R7, R8, R9",R603,4,220R,C22962
R6,1206,1,1R,C17928
SW1,SW_SPST_B3U-1000P,1,RESET,C231329
SW2,SW_SPST_B3U-1000P,1,BOOT,C231329
U1,SOT-223-3_TabPin2,1,LD1117S33CTR,C35879
U2,SOT-23-6,1,USBLC6-2SC6,C2827654
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R8 ,C2913202
